Timestamp for sample frequency every 1 min,Temperature_Celsius,Umidità Relativa
2/25/2018 2:45,19.2059,48.1687
2/25/2018 2:46,19.2059,48.1382
2/25/2018 2:47,19.2059,48.1382
2/25/2018 2:48,19.2059,48.1687
2/25/2018 2:49,19.2059,48.1687
2/25/2018 2:50,19.1952,48.1992
2/25/2018 2:51,19.1952,48.2297
2/25/2018 2:52,19.1952,48.2297
2/25/2018 2:53,19.1952,48.2297
2/25/2018 2:54,19.1844,48.2908
2/25/2018 2:55,19.1844,48.3213
2/25/2018 2:56,19.1844,48.3213
2/25/2018 2:57,19.1844,48.3213
2/25/2018 2:58,19.1844,48.3213
2/25/2018 2:59,19.1737,48.3213
2/25/2018 3:00,19.1737,48.3213
2/25/2018 3:01,19.1737,48.3213
2/25/2018 3:02,19.1737,48.3213
2/25/2018 3:03,19.163,48.3518
2/25/2018 3:04,19.163,48.3518
2/25/2018 3:05,19.163,48.3518
2/25/2018 3:06,19.163,48.3518
2/25/2018 3:07,19.163,48.3518
2/25/2018 3:08,19.1523,48.3518
2/25/2018 3:09,19.1523,48.3518
2/25/2018 3:10,19.1308,48.3518
2/25/2018 3:11,19.1308,48.3823
2/25/2018 3:12,19.1308,48.3823
2/25/2018 3:13,19.1308,48.3823
2/25/2018 3:14,19.1201,48.3823
2/25/2018 3:15,19.1201,48.3823
2/25/2018 3:16,19.1201,48.4128
2/25/2018 3:17,19.1201,48.4434
2/25/2018 3:18,19.1094,48.4434
2/25/2018 3:19,19.1094,48.4739
2/25/2018 3:20,19.1094,48.4739
2/25/2018 3:21,19.1094,48.5044
2/25/2018 3:22,19.1094,48.5044
2/25/2018 3:23,19.0986,48.5349
2/25/2018 3:24,19.0986,48.5349
2/25/2018 3:25,19.0879,48.5654
2/25/2018 3:26,19.0986,48.5654
2/25/2018 3:27,19.0879,48.5654
2/25/2018 3:28,19.0879,48.5654
2/25/2018 3:29,19.0772,48.5654
2/25/2018 3:30,19.0772,48.5654
2/25/2018 3:31,19.0772,48.5959
2/25/2018 3:32,19.0772,48.6265
2/25/2018 3:33,19.0665,48.6265
2/25/2018 3:34,19.0665,48.6265
2/25/2018 3:35,19.0665,48.6265
2/25/2018 3:36,19.0665,48.657
2/25/2018 3:37,19.0557,48.657
2/25/2018 3:38,19.0557,48.6875
2/25/2018 3:39,19.0557,48.7485
2/25/2018 3:40,19.0557,48.7485
2/25/2018 3:41,19.045,48.7791
2/25/2018 3:42,19.045,48.8096
2/25/2018 3:43,19.045,48.8401
2/25/2018 3:44,19.045,48.8401
2/25/2018 3:45,19.0343,48.8706
2/25/2018 3:46,19.0236,48.8706
2/25/2018 3:47,19.0236,48.9011
2/25/2018 3:48,19.0236,48.9316
2/25/2018 3:49,19.0236,48.9622
2/25/2018 3:50,19.0236,49.0232
2/25/2018 3:51,19.0236,49.0232
2/25/2018 3:52,19.0236,49.0537
2/25/2018 3:53,19.0128,49.0232
2/25/2018 3:54,19.0128,49.0232
2/25/2018 3:55,19.0021,49.0232
2/25/2018 3:56,19.0021,48.9622
2/25/2018 3:57,19.0021,48.9316
2/25/2018 3:58,19.0021,48.9316
2/25/2018 3:59,18.9914,48.9011
2/25/2018 4:00,18.9914,48.8706
2/25/2018 4:01,18.9806,48.8706
2/25/2018 4:02,18.9806,48.8706
2/25/2018 4:03,18.9806,48.8706
2/25/2018 4:04,18.9806,48.8706
2/25/2018 4:05,18.9806,48.9011
2/25/2018 4:06,18.9806,48.9316
2/25/2018 4:07,18.9806,48.9622
2/25/2018 4:08,18.9699,49.0232
2/25/2018 4:09,18.9699,49.0842
2/25/2018 4:10,18.9592,49.0842
2/25/2018 4:11,18.9592,49.1453
2/25/2018 4:12,18.9592,49.1453
2/25/2018 4:13,18.9485,49.1758
2/25/2018 4:14,18.9485,49.2063
2/25/2018 4:15,18.9377,49.2368
2/25/2018 4:16,18.9377,49.2673
2/25/2018 4:17,18.9377,49.2979
2/25/2018 4:18,18.9377,49.3284
2/25/2018 4:19,18.9377,49.3284
2/25/2018 4:20,18.9377,49.3589
2/25/2018 4:21,18.9377,49.3589
2/25/2018 4:22,18.9377,49.3589
2/25/2018 4:23,18.9377,49.3894
2/25/2018 4:24,18.9377,49.3894
2/25/2018 4:25,18.927,49.3894
2/25/2018 4:26,18.927,49.3894
2/25/2018 4:27,18.927,49.3894
2/25/2018 4:28,18.927,49.3894
2/25/2018 4:29,18.9163,49.4504
2/25/2018 4:30,18.9163,49.4504
2/25/2018 4:31,18.9163,49.4504
2/25/2018 4:32,18.9056,49.4504
2/25/2018 4:33,18.9056,49.4504
2/25/2018 4:34,18.8948,49.4504
2/25/2018 4:35,18.8948,49.4504
2/25/2018 4:36,18.8948,49.481
2/25/2018 4:37,18.8948,49.481
2/25/2018 4:38,18.8841,49.481
2/25/2018 4:39,18.8841,49.481
2/25/2018 4:40,18.8841,49.481
2/25/2018 4:41,18.8734,49.5115
2/25/2018 4:42,18.8734,49.5115
2/25/2018 4:43,18.8734,49.542
2/25/2018 4:44,18.8734,49.542
2/25/2018 4:45,18.8627,49.542
2/25/2018 4:46,18.8627,49.5115
2/25/2018 4:47,18.8627,49.542
2/25/2018 4:48,18.8519,49.5725
2/25/2018 4:49,18.8519,49.5725
2/25/2018 4:50,18.8519,49.5725
2/25/2018 4:51,18.8519,49.5725
2/25/2018 4:52,18.8519,49.5725
2/25/2018 4:53,18.8412,49.5725
2/25/2018 4:54,18.8412,49.603
2/25/2018 4:55,18.8305,49.603
2/25/2018 4:56,18.8305,49.6335
2/25/2018 4:57,18.8305,49.6335
2/25/2018 4:58,18.8305,49.6335
2/25/2018 4:59,18.8198,49.6335
2/25/2018 5:00,18.8198,49.6335
2/25/2018 5:01,18.8198,49.6335
2/25/2018 5:02,18.809,49.6335
2/25/2018 5:03,18.809,49.6335
2/25/2018 5:04,18.809,49.6641
2/25/2018 5:05,18.809,49.6641
2/25/2018 5:06,18.809,49.6335
2/25/2018 5:07,18.7876,49.6335
2/25/2018 5:08,18.7876,49.603
2/25/2018 5:09,18.7876,49.603
2/25/2018 5:10,18.7876,49.5725
2/25/2018 5:11,18.7876,49.5725
2/25/2018 5:12,18.7769,49.542
2/25/2018 5:13,18.7769,49.5115
2/25/2018 5:14,18.7769,49.5115
2/25/2018 5:15,18.7769,49.5115
2/25/2018 5:16,18.7769,49.481
2/25/2018 5:17,18.7661,49.481
2/25/2018 5:18,18.7661,49.4504
2/25/2018 5:19,18.7661,49.4504
2/25/2018 5:20,18.7661,49.4504
2/25/2018 5:21,18.7554,49.4504
2/25/2018 5:22,18.7554,49.4504
2/25/2018 5:23,18.7554,49.4504
2/25/2018 5:24,18.7554,49.4504
2/25/2018 5:25,18.7447,49.4504
2/25/2018 5:26,18.7447,49.481
2/25/2018 5:27,18.7447,49.5115
2/25/2018 5:28,18.7447,49.542
2/25/2018 5:29,18.734,49.5725
2/25/2018 5:30,18.7447,49.6335
2/25/2018 5:31,18.734,49.6641
2/25/2018 5:32,18.734,49.7251
2/25/2018 5:33,18.734,49.7861
2/25/2018 5:34,18.734,49.8167
2/25/2018 5:35,18.7232,49.8777
2/25/2018 5:36,18.7232,49.9082
2/25/2018 5:37,18.7232,49.9387
2/25/2018 5:38,18.7232,49.9692
2/25/2018 5:39,18.7125,50.0303
2/25/2018 5:40,18.7125,50.0608
2/25/2018 5:41,18.7125,50.0913
2/25/2018 5:42,18.7125,50.0913
2/25/2018 5:43,18.7125,50.0913
2/25/2018 5:44,18.7018,50.1218
2/25/2018 5:45,18.7018,50.1523
